ITME,SIZE,WHOLESALE PRICE,# ORDERED,RETAIL PRICE,CATEGORY,Description
Black Crinkled V Neck Wide Sleeve T-shirt,XL,3.3,4,32,Top,Black Crinkled V Neck Wide Sleeve T-shirt
Sky Blue Gypsy Mid-rise Distressed Denim Shorts,S,8.7,3,42.5,Bottoms,Sky Blue Gypsy Mid-rise Distressed Denim Shorts
Sky Blue Gypsy Mid-rise Distressed Denim Shorts,M,8.7,3,42.5,Bottoms,Sky Blue Gypsy Mid-rise Distressed Denim Shorts
Sky Blue Gypsy Mid-rise Distressed Denim Shorts,L,8.7,3,42.5,Bottoms,Sky Blue Gypsy Mid-rise Distressed Denim Shorts
Sky Blue Gypsy Mid-rise Distressed Denim Shorts,XL,8.7,3,42.5,Bottoms,Sky Blue Gypsy Mid-rise Distressed Denim Shorts
Black High Waist Faux Suede Skinny Leggings,S,5.37,1,38,Bottoms,Black High Waist Faux Suede Skinny Leggings
Black High Waist Faux Suede Skinny Leggings,M,5.37,2,38,Bottoms,Black High Waist Faux Suede Skinny Leggings
Black High Waist Faux Suede Skinny Leggings,L,5.37,2,38,Bottoms,Black High Waist Faux Suede Skinny Leggings
Black High Waist Faux Suede Skinny Leggings,XL,5.37,2,38,Bottoms,Black High Waist Faux Suede Skinny Leggings
Rose Floral Print Smocked Square Neck Bubble Sleeve Dress,S,9.7,1,58,Dress,Rose Floral Print Smocked Square Neck Bubble Sleeve Dress
Rose Floral Print Smocked Square Neck Bubble Sleeve Dress,M,9.7,2,58,Dress,Rose Floral Print Smocked Square Neck Bubble Sleeve Dress
Rose Floral Print Smocked Square Neck Bubble Sleeve Dress,L,9.7,2,58,Dress,Rose Floral Print Smocked Square Neck Bubble Sleeve Dress
Rose Floral Print Smocked Square Neck Bubble Sleeve Dress,XL,9.7,2,58,Dress,Rose Floral Print Smocked Square Neck Bubble Sleeve Dress
Blackish Green Patch Pocket Ribbed Knit Short Sleeve Sweater,S,6.18,2,36.5,Top,Blackish Green Patch Pocket Ribbed Knit Short Sleeve Sweater
Blackish Green Patch Pocket Ribbed Knit Short Sleeve Sweater,M,6.18,4,36.5,Top,Blackish Green Patch Pocket Ribbed Knit Short Sleeve Sweater
Blackish Green Patch Pocket Ribbed Knit Short Sleeve Sweater,L,6.18,4,36.5,Top,Blackish Green Patch Pocket Ribbed Knit Short Sleeve Sweater
Blackish Green Patch Pocket Ribbed Knit Short Sleeve Sweater,XL,6.18,4,36.5,Top,Blackish Green Patch Pocket Ribbed Knit Short Sleeve Sweater
,,,753,,,
